Entity,Code,Year,Solar (% equivalent primary energy)
Argentina,ARG,1965,0.0
Argentina,ARG,1966,0.0
Argentina,ARG,1967,0.0
Argentina,ARG,1968,0.0
Argentina,ARG,1969,0.0
Argentina,ARG,1970,0.0
Argentina,ARG,1971,0.0
Argentina,ARG,1972,0.0
Argentina,ARG,1973,0.0
Argentina,ARG,1974,0.0
Argentina,ARG,1975,0.0
Argentina,ARG,1976,0.0
Argentina,ARG,1977,0.0
Argentina,ARG,1978,0.0
Argentina,ARG,1979,0.0
Argentina,ARG,1980,0.0
Argentina,ARG,1981,0.0
Argentina,ARG,1982,0.0
Argentina,ARG,1983,0.0
Argentina,ARG,1984,0.0
Argentina,ARG,1985,0.0
Argentina,ARG,1986,0.0
Argentina,ARG,1987,0.0
Argentina,ARG,1988,0.0
Argentina,ARG,1989,0.0
Argentina,ARG,1990,0.0
Argentina,ARG,1991,0.0
Argentina,ARG,1992,0.0
Argentina,ARG,1993,0.0
Argentina,ARG,1994,0.0
Argentina,ARG,1995,0.0
Argentina,ARG,1996,0.0
Argentina,ARG,1997,0.0
Argentina,ARG,1998,7.3034457e-06
Argentina,ARG,1999,1.1056523e-05
Argentina,ARG,2000,1.5225888e-05
Argentina,ARG,2001,1.851931e-05
Argentina,ARG,2002,2.0968526e-05
Argentina,ARG,2003,2.6889687e-05
Argentina,ARG,2004,2.707599e-05
Argentina,ARG,2005,2.9337736e-05
Argentina,ARG,2006,3.0835607e-05
Argentina,ARG,2007,3.5572175e-05
Argentina,ARG,2008,4.5872686e-05
Argentina,ARG,2009,2.4896292e-05
Argentina,ARG,2010,2.6933396e-05
Argentina,ARG,2011,0.00048874883
Argentina,ARG,2012,0.0023722528
Argentina,ARG,2013,0.0041799652
Argentina,ARG,2014,0.004408179
Argentina,ARG,2015,0.003967834
Argentina,ARG,2016,0.0038529567
Argentina,ARG,2017,0.0044105537
Argentina,ARG,2018,0.029088747
Argentina,ARG,2019,0.2264681
Argentina,ARG,2020,0.4008213
Argentina,ARG,2021,0.6025807
Brazil,BRA,1965,0.0
