Entity,Code,Year,Wind (% equivalent primary energy)
Argentina,ARG,1965,0.0
Argentina,ARG,1966,0.0
Argentina,ARG,1967,0.0
Argentina,ARG,1968,0.0
Argentina,ARG,1969,0.0
Argentina,ARG,1970,0.0
Argentina,ARG,1971,0.0
Argentina,ARG,1972,0.0
Argentina,ARG,1973,0.0
Argentina,ARG,1974,0.0
Argentina,ARG,1975,0.0
Argentina,ARG,1976,0.0
Argentina,ARG,1977,0.0
Argentina,ARG,1978,0.0
Argentina,ARG,1979,0.0
Argentina,ARG,1980,0.0
Argentina,ARG,1981,0.0
Argentina,ARG,1982,0.0
Argentina,ARG,1983,0.0
Argentina,ARG,1984,0.0
Argentina,ARG,1985,0.0
Argentina,ARG,1986,0.0
Argentina,ARG,1987,0.0
Argentina,ARG,1988,0.0
Argentina,ARG,1989,0.0
Argentina,ARG,1990,0.0
Argentina,ARG,1991,0.0
Argentina,ARG,1992,0.0
Argentina,ARG,1993,0.0
Argentina,ARG,1994,0.0
Argentina,ARG,1995,0.0
Argentina,ARG,1996,0.004328139
Argentina,ARG,1997,0.0064909924
Argentina,ARG,1998,0.0139775835
Argentina,ARG,1999,0.0147785805
Argentina,ARG,2000,0.01470928
Argentina,ARG,2001,0.02124812
Argentina,ARG,2002,0.032739975
Argentina,ARG,2003,0.032230996
Argentina,ARG,2004,0.02802891
Argentina,ARG,2005,0.02597556
Argentina,ARG,2006,0.023857594
Argentina,ARG,2007,0.020092895
Argentina,ARG,2008,0.013426018
Argentina,ARG,2009,0.012050945
Argentina,ARG,2010,0.007951787
Argentina,ARG,2011,0.008066647
Argentina,ARG,2012,0.10732154
Argentina,ARG,2013,0.12571332
Argentina,ARG,2014,0.17127603
Argentina,ARG,2015,0.16033915
Argentina,ARG,2016,0.14775771
Argentina,ARG,2017,0.16430265
Argentina,ARG,2018,0.38005105
Argentina,ARG,2019,14148179.0
Argentina,ARG,2020,28057885.0
Argentina,ARG,2021,35507598.0
Brazil,BRA,1965,0.0
Brazil,BRA,1966,0.0
Brazil,BRA,1967,0.0
